id	image_type	year	title	image	description
3387	jpg	2023	Always deserved to be reserved	https://amul.com/files/hits/amul-hits-3387.jpg	Women’s Reservation Bill passed in Parliament! - (Sep’ 23)
3388	jpg	2023	Hangzou mein jeet ki aarzou	https://amul.com/files/hits/amul-hits-3388.jpg	Amul is the proud sponsor of the Indian continent for the Asian Games! - (Sep’ 23)
3386	jpg	2023	Sabka sir aaj ooncha hai!	https://amul.com/files/hits/amul-hits-3386.jpg	First Indian fast bowler to get four wickets in one over! - (Sep’ 23)
3385	jpg	2023	Bus. stop.	https://amul.com/files/hits/amul-hits-3385.jpg	Beloved BEST non-AC double deckers have been discontinued! - (Sep’ 23)
3384	jpg	2023	Bulls eye for Nifty!	https://amul.com/files/hits/amul-hits-3384.jpg	Sensex hits record levels! - (Sep'23)
3383	jpg	2023	Cup of coco?	https://amul.com/files/hits/amul-hits-3383.jpg	19 year old American wins Ladies'singles US Open Crown! - (Sep'23)
3381	jpg	2023	He was more milk	https://amul.com/files/hits/amul-hits-3381.jpg	Tribute to Dr. Kurien on his 11th death anniversary! - (Sep'23)
3382	jpg	2023	G bhar ke Khaaiye ji	https://amul.com/files/hits/amul-hits-3382.jpg	The 2023 G20 Summit begins in New Delhi today... - (Sep'23)
3380	jpg	2023	ISRO ka sanmaan!	https://amul.com/files/hits/amul-hits-3380.jpg	Aditya L1 takes off towards the sun! - (Sep'23)
3379	jpg	2023	Really relay proud of you!	https://amul.com/files/hits/amul-hits-3379.jpg	Celebrating our 4 x 400 meters team at the World Athletics Championships! - (Aug'23)
3378	jpeg	2023	Javelwin	https://amul.com/files/hits/amul-hits-3378.jpeg	Neeraj Chopra wins India's first ever gold at the World Athletics Championships! - (Aug'23)
3377	jpg	2023	Lyles ahead of ahead!	https://amul.com/files/hits/amul-hits-3377.jpg	Sprint sensation wins three golds at World Athletics Championships! - (Aug'23)
3376	jpg	2023	Grand Ma aster!	https://amul.com/files/hits/amul-hits-3376.jpg	R. Praggnanandhaa's mother contributes quietly to his success in chess! - (Aug'23)
3375	jpg	2023	Made in oven	https://amul.com/files/hits/amul-hits-3375.jpg	Web series addresses many social issues! - (Aug'23)
3374	jpg	2023	Tu maskavalaya!	https://amul.com/files/hits/amul-hits-3374.jpg	Movie 'JAILER's'box office success is unstoppable! - (Aug'23)
3373	jpg	2023	Har Zubin pe!	https://amul.com/files/hits/amul-hits-3373.jpg	Legendary conductor Zubin Mehta to perform in Mumbai! - (Aug'23)
